datum,ISTAT_code,name_IT,totals
2020-04-02,21001,ALDINO,2
2020-04-02,21002,ANDRIANO,1
2020-04-02,21003,ANTERIVO,2
2020-04-02,21004,APPIANO SULLA STRADA DEL VINO,73
2020-04-02,21005,AVELENGO,1
2020-04-02,21006,BADIA,23
2020-04-02,21007,BARBIANO,3
2020-04-02,21008,BOLZANO,311
2020-04-02,21009,BRAIES,4
2020-04-02,21010,BRENNERO,9
2020-04-02,21011,BRESSANONE,63
2020-04-02,21012,BRONZOLO,5
2020-04-02,21013,BRUNICO,34
2020-04-02,21015,CALDARO SULLA STRADA DEL VINO,11
2020-04-02,21016,CAMPO DI TRENS,5
2020-04-02,21017,CAMPO TURES,7
2020-04-02,21019,CASTELROTTO,72
2020-04-02,21021,CHIENES,11
2020-04-02,21022,CHIUSA,10
2020-04-02,21023,CORNEDO ALL'ISARCO,10
2020-04-02,21024,CORTACCIA SULLA STRADA DEL VINO,2
2020-04-02,21025,CORTINA SULLA STRADA DEL VINO,1
2020-04-02,21026,CORVARA IN BADIA,18
2020-04-02,21027,CURON VENOSTA,2
2020-04-02,21028,DOBBIACO,3
2020-04-02,21029,EGNA,12
2020-04-02,21030,FALZES,7
2020-04-02,21031,FIE' ALLO SCILIAR,11
2020-04-02,21032,FORTEZZA,4
2020-04-02,21033,FUNES,9
2020-04-02,21034,GAIS,4
2020-04-02,21035,GARGAZZONE,1
2020-04-02,21117,LA VALLE,9
2020-04-02,21038,LAGUNDO,7
2020-04-02,21039,LAION,17
2020-04-02,21040,LAIVES,52
2020-04-02,21041,LANA,9
2020-04-02,21042,LASA,2
2020-04-02,21044,LUSON,1
2020-04-02,21045,MAGRE' SULLA STRADA DEL VINO,1
2020-04-02,21047,MAREBBE,13
2020-04-02,21048,MARLENGO,1
2020-04-02,21050,MELTINA,3
2020-04-02,21051,MERANO,71
2020-04-02,21052,MONGUELFO - TESIDO,7
2020-04-02,21053,MONTAGNA,11
2020-04-02,21054,MOSO IN PASSIRIA,8
2020-04-02,21055,NALLES,3
2020-04-02,21056,NATURNO,1
2020-04-02,21057,NAZ-SCIAVES,5
2020-04-02,21059,NOVA PONENTE,5
2020-04-02,21060,ORA,18
2020-04-02,21061,ORTISEI,48
2020-04-02,21063,PERCA,3
2020-04-02,21066,POSTAL,4
2020-04-02,21067,PRATO ALLO STELVIO,2
2020-04-02,21068,PREDOI,2
2020-04-02,21070,RACINES,17
2020-04-02,21071,RASUN ANTERSELVA,2
2020-04-02,21072,RENON,11
2020-04-02,21073,RIFIANO,3
2020-04-02,21074,RIO DI PUSTERIA,2
2020-04-02,21075,RODENGO,4
2020-04-02,21076,SALORNO SULLA STRADA DEL VINO,12
2020-04-02,21077,SAN CANDIDO,10
2020-04-02,21079,SAN GENESIO ATESINO,6
2020-04-02,21080,SAN LEONARDO IN PASSIRIA,17
2020-04-02,21081,SAN LORENZO DI SEBATO,5
2020-04-02,21082,SAN MARTINO IN BADIA,4
2020-04-02,21083,SAN MARTINO IN PASSIRIA,7
2020-04-02,21084,SAN PANCRAZIO,2
2020-04-02,21085,SANTA CRISTINA VALGARDENA,23
2020-04-02,21086,SARENTINO,4
2020-04-02,21087,SCENA,1
2020-04-02,21089,SELVA DI VAL GARDENA,39
2020-04-02,21118,SENALE-SAN FELICE,3
2020-04-02,21093,SILANDRO,3
2020-04-02,21097,TERLANO,14
2020-04-02,21098,TERMENO SULLA STRADA DEL VINO,1
2020-04-02,21099,TESIMO,4
2020-04-02,21100,TIRES,1
2020-04-02,21101,TIROLO,3
2020-04-02,21102,TRODENA NEL PARCO NATURALE,4
2020-04-02,21104,ULTIMO,1
2020-04-02,21105,VADENA,4
2020-04-02,21107,VAL DI VIZZE,9
2020-04-02,21106,VALDAORA,9
2020-04-02,21108,VALLE AURINA,8
2020-04-02,21109,VALLE DI CASIES,5
2020-04-02,21110,VANDOIES,4
2020-04-02,21111,VARNA,15
2020-04-02,21116,VELTURNO,6
2020-04-02,21113,VILLABASSA,19
2020-04-02,21114,VILLANDRO,1
2020-04-02,21115,VIPITENO,20
