datum,ISTAT_code,name_IT,totals
2020-11-05,1125,IVREA,1
2020-11-05,1139,LUSERNA SAN GIOVANNI,1
2020-11-05,1156,MONCALIERI,1
2020-11-05,1272,TORINO,4
2020-11-05,3106,NOVARA,1
2020-11-05,5015,CALOSSO,1
2020-11-05,6047,CASTELLAZZO BORMIDA,1
2020-11-05,6174,TORTONA,1
2020-11-05,10025,GENOVA,9
2020-11-05,10028,LAVAGNA,1
2020-11-05,10046,RAPALLO,1
2020-11-05,12014,BIANDRONNO,1
2020-11-05,13040,CAMPIONE D'ITALIA,1
2020-11-05,13046,CARIMATE,1
2020-11-05,13157,MONTORFANO,1
2020-11-05,15027,BOLLATE,1
2020-11-05,15140,MELEGNANO,1
2020-11-05,15146,MILANO,4
2020-11-05,15250,BARANZATE,3
2020-11-05,17029,BRESCIA,3
2020-11-05,17179,SIRMIONE,1
2020-11-05,18083,LOMELLO,2
2020-11-05,19036,CREMONA,1
2020-11-05,21001,ALDINO,23
2020-11-05,21002,ANDRIANO,13
2020-11-05,21003,ANTERIVO,5
2020-11-05,21004,APPIANO SULLA STRADA DEL VINO,318
2020-11-05,21005,AVELENGO,7
2020-11-05,21006,BADIA,46
2020-11-05,21007,BARBIANO,13
2020-11-05,21008,BOLZANO,2866
2020-11-05,21009,BRAIES,26
2020-11-05,21010,BRENNERO,34
2020-11-05,21011,BRESSANONE,372
2020-11-05,21012,BRONZOLO,61
2020-11-05,21013,BRUNICO,321
2020-11-05,21014,CAINES,4
2020-11-05,21015,CALDARO SULLA STRADA DEL VINO,111
2020-11-05,21016,CAMPO DI TRENS,86
2020-11-05,21017,CAMPO TURES,61
2020-11-05,21018,CASTELBELLO-CIARDES,10
2020-11-05,21019,CASTELROTTO,112
2020-11-05,21020,CERMES,22
2020-11-05,21021,CHIENES,45
2020-11-05,21022,CHIUSA,78
2020-11-05,21023,CORNEDO ALL'ISARCO,82
2020-11-05,21024,CORTACCIA SULLA STRADA DEL VINO,15
2020-11-05,21025,CORTINA SULLA STRADA DEL VINO,15
2020-11-05,21026,CORVARA IN BADIA,29
2020-11-05,21027,CURON VENOSTA,16
2020-11-05,21028,DOBBIACO,35
2020-11-05,21029,EGNA,117
2020-11-05,21030,FALZES,49
2020-11-05,21031,FIE' ALLO SCILIAR,31
2020-11-05,21032,FORTEZZA,20
2020-11-05,21033,FUNES,37
2020-11-05,21034,GAIS,50
2020-11-05,21035,GARGAZZONE,26
2020-11-05,21036,GLORENZA,13
2020-11-05,21037,LACES,27
2020-11-05,21038,LAGUNDO,49
2020-11-05,21039,LAION,43
